state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn
AL,194,510,yes,no,0,297.7,57,50.61,223.2,61,18.97,236.5,65,10.64,8.8,3,2.38,8,False
SC,38,408,no,yes,42,142.1,20,24.16,202.7,134,17.23,56.5,131,2.54,13.2,20,3.56,6,False
ID,119,408,no,yes,16,213.7,148,36.33,178.9,12,15.21,213.2,156,9.59,14.0,17,3.78,3,False
OK,37,415,no,no,0,198.0,28,33.66,212.3,114,18.05,172.4,3,7.76,10.2,15,2.75,1,False
VT,115,408,no,no,0,193.4,46,32.88,187.4,38,15.93,124.7,123,5.61,11.5,17,3.11,4,False
MN,68,415,no,no,0,81.1,139,13.79,203.5,83,17.3,196.6,128,8.85,10.8,15,2.92,3,False
WA,214,510,no,yes,14,248.6,57,42.26,99.6,145,8.47,259.0,91,11.66,9.8,20,2.65,0,True
NM,218,510,no,no,0,197.3,18,33.54,240.1,149,20.41,322.4,17,14.51,9.4,8,2.54,6,False
HI,177,408,no,yes,15,229.6,139,39.03,232.3,163,19.75,213.1,140,9.59,6.8,1,1.84,2,False
GA,43,415,no,no,0,241.5,22,41.06,308.7,104,26.24,161.7,69,7.28,8.1,5,2.19,5,False
AZ,164,408,no,no,0,272.5,132,46.32,164.7,111,14.0,158.4,174,7.13,10.3,20,2.78,4,False
IN,58,415,no,no,0,126.1,121,21.44,175.3,71,14.9,252.0,102,11.34,14.0,5,3.78,3,False
KS,13,415,no,no,0,141.2,153,24.0,209.9,2,17.84,146.2,85,6.58,11.0,5,2.97,2,False
GA,52,415,no,no,0,148.6,116,25.26,199.3,156,16.94,233.6,29,10.51,13.2,13,3.56,8,False
NH,58,510,no,no,0,133.2,62,22.64,281.6,72,23.94,215.9,154,9.72,5.1,10,1.38,4,False
GA,32,415,no,no,0,251.4,51,42.74,180.2,7,15.32,209.9,106,9.45,13.8,16,3.73,9,False
ID,209,510,no,yes,39,125.8,9,21.39,193.2,75,16.42,115.3,155,5.19,11.8,3,3.19,6,False
NJ,105,415,no,no,0,159.5,85,27.12,172.3,91,14.65,180.7,129,8.13,12.9,3,3.48,3,False
SD,228,510,yes,no,0,91.9,150,15.62,278.7,105,23.69,121.3,19,5.46,4.6,18,1.24,0,False
AL,188,510,no,yes,3,219.5,10,37.32,225.8,48,19.19,168.2,77,7.57,8.9,15,2.4,1,True
CA,238,510,no,no,0,173.1,94,29.43,281.1,42,23.89,249.5,151,11.23,7.1,7,1.92,9,False
MD,83,408,no,yes,6,227.7,71,38.71,349.7,137,29.72,266.5,76,11.99,12.0,18,3.24,4,False
DE,186,415,no,no,0,217.9,127,37.04,162.1,140,13.78,211.6,71,9.52,11.4,19,3.08,7,True
TX,99,408,yes,no,0,91.4,47,15.54,256.0,1,21.76,169.2,171,7.61,12.6,0,3.4,7,True
ID,238,415,no,no,0,190.0,91,32.3,187.9,64,15.97,285.8,148,12.86,8.9,3,2.4,7,False
AL,104,415,no,yes,10,121.1,15,20.59,165.9,85,14.1,168.5,149,7.58,12.3,11,3.32,8,False
MD,184,408,yes,yes,42,187.6,94,31.89,126.2,96,10.73,138.7,72,6.24,10.0,20,2.7,1,False
NV,28,510,yes,no,0,148.4,47,25.23,309.5,169,26.31,237.6,105,10.69,13.3,18,3.59,3,False
TX,342,415,no,yes,10,279.0,152,47.43,252.1,9,21.43,224.7,127,10.11,11.9,1,3.21,9,False
OR,170,510,no,no,0,323.8,76,55.05,189.5,62,16.11,170.7,106,7.68,8.0,5,2.16,5,True
WA,210,408,no,no,0,166.8,92,28.36,232.7,102,19.78,205.4,10,9.24,10.8,19,2.92,5,False
OR,48,510,no,no,0,185.3,103,31.5,108.7,60,9.24,223.9,79,10.08,6.1,2,1.65,4,False
ID,40,415,no,no,0,56.6,80,9.62,196.2,0,16.68,211.0,8,9.49,13.3,2,3.59,1,False
OR,97,415,no,no,0,91.2,36,15.5,162.1,153,13.78,224.8,99,10.12,11.9,0,3.21,7,False
WI,191,415,no,no,0,200.9,101,34.15,274.7,4,23.35,172.7,51,7.77,12.0,8,3.24,0,False
WI,204,408,no,yes,11,178.3,28,30.31,278.2,34,23.65,228.4,114,10.28,12.6,6,3.4,0,False
UT,200,415,no,no,0,202.7,57,34.46,246.4,124,20.94,200.9,140,9.04,10.6,8,2.86,0,False
NV,216,408,no,no,0,136.9,93,23.27,249.3,140,21.19,174.5,128,7.85,5.9,0,1.59,8,False
WA,208,510,yes,no,0,196.3,158,33.37,167.9,26,14.27,186.7,171,8.4,12.7,7,3.43,4,True
IA,114,415,no,no,0,43.4,85,7.38,237.6,139,20.2,194.7,74,8.76,7.9,17,2.13,1,False
CO,132,415,no,no,0,147.1,109,25.01,130.7,93,11.11,121.9,151,5.49,7.7,2,2.08,0,False
UT,166,415,yes,yes,26,205.2,40,34.88,123.8,49,10.52,165.6,132,7.45,12.1,16,3.27,3,False
MD,236,510,no,no,0,271.6,43,46.17,195.6,158,16.63,203.5,147,9.16,8.5,6,2.3,1,False
WY,155,415,no,yes,23,173.7,136,29.53,228.0,68,19.38,127.0,142,5.72,10.5,10,2.84,2,False
IN,137,408,no,no,0,211.9,89,36.02,231.5,164,19.68,166.5,67,7.49,12.0,4,3.24,1,False
AK,111,510,no,no,0,143.9,154,24.46,136.9,1,11.64,328.8,53,14.8,12.0,12,3.24,7,False
FL,144,510,no,no,0,204.0,108,34.68,121.9,101,10.36,139.0,10,6.26,13.1,10,3.54,2,False
OR,184,510,yes,no,0,153.3,58,26.06,178.0,2,15.13,179.3,150,8.07,8.5,2,2.3,1,True
MD,76,510,yes,no,0,285.6,109,48.55,156.3,147,13.29,155.0,128,6.98,9.1,12,2.46,5,False
MT,31,510,no,no,0,162.2,105,27.57,232.2,129,19.74,193.7,169,8.72,11.0,19,2.97,6,False
NH,216,408,yes,yes,35,170.8,130,29.04,149.3,41,12.69,156.0,46,7.02,6.4,5,1.73,8,True
AL,119,510,no,no,0,221.8,6,37.71,300.2,42,25.52,186.9,114,8.41,7.8,14,2.11,9,False
OH,142,415,no,yes,40,207.1,81,35.21,219.5,20,18.66,161.2,37,7.25,7.5,1,2.03,3,False
CO,237,510,no,yes,2,160.3,15,27.25,193.5,44,16.45,257.0,129,11.56,4.1,1,1.11,4,False
OR,25,510,no,yes,4,202.1,48,34.36,142.5,19,12.11,204.4,44,9.2,8.5,13,2.3,5,False
CA,34,510,no,no,0,123.0,120,20.91,133.6,42,11.36,145.8,154,6.56,10.0,1,2.7,2,True
NC,67,510,no,yes,18,192.2,31,32.67,184.6,23,15.69,245.4,60,11.04,10.4,4,2.81,2,False
WI,152,510,no,no,0,209.7,88,35.65,171.5,81,14.58,148.3,81,6.67,8.7,15,2.35,2,False
IN,118,408,no,no,0,157.2,18,26.72,112.7,83,9.58,115.5,10,5.2,7.6,7,2.05,4,False
ID,234,408,no,no,0,160.0,2,27.2,271.0,59,23.04,199.8,156,8.99,9.7,7,2.62,5,False
TN,73,510,no,yes,11,146.0,121,24.82,144.6,31,12.29,303.0,24,13.64,8.6,10,2.32,8,False
MD,26,408,no,no,0,102.5,59,17.42,219.0,121,18.62,101.3,77,4.56,3.4,12,0.92,8,False
WY,148,415,no,no,0,202.4,162,34.41,223.6,4,19.01,128.1,173,5.76,7.6,14,2.05,4,True
MS,192,510,no,no,0,154.3,28,26.23,118.4,129,10.06,240.6,40,10.83,10.9,3,2.94,7,False
TX,104,415,no,no,0,210.0,74,35.7,181.4,153,15.42,165.3,40,7.44,10.0,7,2.7,6,False
ND,10,415,no,no,0,170.1,69,28.92,129.1,24,10.97,233.0,100,10.48,10.5,15,2.84,3,False
MO,211,510,no,yes,28,213.2,82,36.24,221.8,85,18.85,154.8,138,6.97,11.7,15,3.16,0,False
WY,67,415,no,no,0,87.5,100,14.88,204.2,166,17.36,207.7,171,9.35,10.8,20,2.92,2,False
NH,152,415,no,yes,47,118.1,154,20.08,197.1,85,16.75,294.2,31,13.24,10.2,9,2.75,9,False
RI,5,415,no,no,0,134.5,89,22.86,159.2,74,13.53,135.5,48,6.1,8.9,1,2.4,4,False
NM,195,510,no,no,0,244.6,162,41.58,261.2,10,22.2,255.3,5,11.49,8.1,17,2.19,9,False
WA,186,510,no,no,0,201.8,146,34.31,181.7,67,15.44,236.7,56,10.65,10.2,20,2.75,2,False
TX,27,415,no,yes,35,165.8,16,28.19,125.7,96,10.68,119.6,5,5.38,7.1,15,1.92,3,False
WY,208,510,no,no,0,154.2,34,26.21,152.8,145,12.99,230.2,46,10.36,12.0,3,3.24,8,True
MN,113,510,no,no,0,212.2,112,36.07,98.6,107,8.38,203.9,62,9.18,7.3,19,1.97,8,False
UT,15,415,yes,yes,8,148.2,157,25.19,167.6,121,14.25,204.9,149,9.22,13.9,18,3.75,8,False
PA,331,510,no,no,0,219.7,121,37.35,154.6,155,13.14,218.2,66,9.82,9.8,7,2.65,8,False
MD,204,408,no,no,0,168.4,47,28.63,236.4,41,20.09,181.1,146,8.15,13.2,19,3.56,0,False
MN,105,510,no,no,0,249.8,16,42.47,230.2,59,19.57,203.8,161,9.17,7.0,7,1.89,8,False
VT,181,408,yes,yes,3,129.0,100,21.93,211.8,149,18.0,213.0,40,9.58,14.6,13,3.94,1,False
KS,44,415,yes,yes,5,173.1,14,29.43,249.3,167,21.19,240.3,104,10.81,7.0,15,1.89,7,False
WY,26,510,no,yes,50,130.4,127,22.17,140.9,61,11.98,117.5,6,5.29,9.8,5,2.65,8,False
TN,175,415,no,yes,32,267.9,111,45.54,217.2,130,18.46,269.7,56,12.14,6.3,17,1.7,7,False
DE,162,415,no,no,0,181.1,13,30.79,127.7,70,10.85,137.6,15,6.19,10.1,7,2.73,8,False
WY,215,415,no,no,0,125.6,141,21.35,176.7,120,15.02,241.1,58,10.85,9.6,18,2.59,4,False
MA,95,415,yes,no,0,131.3,96,22.32,218.4,19,18.56,204.3,165,9.19,3.6,3,0.97,9,False
AL,178,415,no,no,0,207.8,118,35.33,173.9,70,14.78,130.8,136,5.89,10.4,3,2.81,6,True
DE,84,510,no,yes,35,81.8,10,13.91,284.3,153,24.17,228.5,33,10.28,11.5,6,3.11,2,False
NH,140,408,no,no,0,170.4,47,28.97,183.3,168,15.58,148.9,45,6.7,7.6,7,2.05,3,False
NY,215,510,no,no,0,134.0,153,22.78,241.8,130,20.55,257.7,164,11.6,9.2,8,2.48,3,False
PA,132,510,yes,no,0,171.4,66,29.14,187.5,144,15.94,161.6,42,7.27,9.4,0,2.54,9,True
CA,87,510,no,yes,30,185.5,24,31.54,207.7,83,17.65,119.3,46,5.37,14.6,16,3.94,3,False
WA,176,510,no,no,0,174.7,85,29.7,182.4,97,15.5,282.8,133,12.73,10.6,6,2.86,7,False
MI,183,408,no,no,0,165.6,109,28.15,210.0,160,17.85,209.8,165,9.44,8.5,19,2.3,1,False
WA,112,510,no,no,0,188.9,153,32.11,289.1,59,24.57,246.8,111,11.11,6.9,9,1.86,1,False
ND,129,415,no,yes,24,274.5,161,46.67,279.7,67,23.77,154.0,122,6.93,5.2,20,1.4,4,False
AL,89,510,no,yes,33,248.8,89,42.3,176.2,104,14.98,97.8,60,4.4,9.6,0,2.59,5,False
MT,66,510,no,no,0,161.8,8,27.51,189.3,135,16.09,290.5,131,13.07,10.3,17,2.78,3,False
TX,158,408,no,no,0,219.2,39,37.26,203.6,160,17.31,199.7,132,8.99,6.6,13,1.78,6,False
GA,131,408,no,yes,8,216.5,6,36.8,233.7,152,19.86,226.5,69,10.19,6.0,18,1.62,9,False
NJ,122,415,no,no,0,159.5,157,27.12,295.6,110,25.13,235.5,59,10.6,11.3,17,3.05,3,False
WY,149,510,no,no,0,178.3,117,30.31,266.6,134,22.66,181.9,87,8.19,12.7,12,3.43,7,False
LA,217,510,no,no,0,209.0,157,35.53,187.4,58,15.93,212.2,91,9.55,9.2,6,2.48,1,False
KY,84,510,no,no,0,140.6,57,23.9,221.6,32,18.84,286.1,76,12.87,11.4,1,3.08,9,False
MT,177,415,no,no,0,167.0,54,28.39,212.5,40,18.06,198.2,105,8.92,9.7,6,2.62,3,False
DE,116,408,no,no,0,169.3,13,28.78,170.1,160,14.46,250.9,81,11.29,17.3,9,4.67,6,False
WA,214,415,yes,no,0,165.4,117,28.12,252.7,28,21.48,92.5,6,4.16,9.8,16,2.65,4,False
SC,213,510,no,yes,4,163.3,76,27.76,72.8,166,6.19,260.7,30,11.73,13.9,20,3.75,9,False
WI,190,408,no,yes,44,203.9,164,34.66,252.3,104,21.45,117.8,84,5.3,11.6,4,3.13,1,False
ID,225,408,no,no,0,181.4,123,30.84,222.0,100,18.87,254.5,47,11.45,8.5,8,2.3,2,False
NE,116,415,no,no,0,214.5,133,36.47,108.9,63,9.26,221.1,41,9.95,11.7,3,3.16,3,False
DE,38,408,no,no,0,316.1,25,53.74,147.9,85,12.57,194.8,89,8.77,9.8,19,2.65,4,False
MO,143,408,no,no,0,151.1,127,25.69,95.6,65,8.13,194.6,29,8.76,7.1,14,1.92,6,False
VA,110,510,no,no,0,191.8,117,32.61,287.5,113,24.44,186.4,116,8.39,10.3,13,2.78,2,True
AR,180,510,no,no,0,207.5,141,35.28,150.4,121,12.78,155.7,125,7.01,8.8,17,2.38,8,False
NC,207,408,no,no,0,239.0,135,40.63,247.4,8,21.03,188.9,50,8.5,9.9,9,2.67,9,False
AL,46,408,no,no,0,203.5,23,34.6,249.2,28,21.18,319.2,162,14.36,9.8,15,2.65,2,False
ME,25,415,no,yes,42,121.0,84,20.57,194.8,96,16.56,270.3,50,12.16,9.4,19,2.54,4,False
NM,21,415,no,no,0,144.2,62,24.51,167.1,73,14.2,153.0,119,6.88,7.3,9,1.97,4,False
KS,216,408,no,no,0,187.9,25,31.94,227.2,123,19.31,214.5,108,9.65,13.4,8,3.62,6,False
IN,121,510,no,no,0,142.7,9,24.26,212.0,155,18.02,205.2,157,9.23,9.8,15,2.65,5,False
WV,122,408,no,no,0,100.3,105,17.05,248.7,109,21.14,192.3,146,8.65,10.6,4,2.86,2,False
CA,133,408,no,no,0,136.5,116,23.2,141.2,52,12.0,145.9,49,6.57,9.4,18,2.54,0,False
SD,70,510,yes,no,0,136.7,57,23.24,253.1,166,21.51,224.1,82,10.08,8.9,0,2.4,5,False
MT,113,510,no,no,0,125.5,13,21.34,269.7,75,22.92,245.7,85,11.06,10.6,0,2.86,5,False
NV,107,415,no,no,0,316.4,72,53.79,187.9,57,15.97,155.0,131,6.98,13.9,4,3.75,3,False
AK,112,415,yes,no,0,197.0,38,33.49,152.2,133,12.94,305.6,11,13.75,5.6,6,1.51,1,False
WY,108,415,no,no,0,186.2,121,31.65,176.4,44,14.99,282.2,142,12.7,6.9,14,1.86,8,True
CO,47,415,no,yes,12,229.7,158,39.05,168.4,167,14.31,229.6,142,10.33,9.1,10,2.46,5,False
FL,215,510,no,yes,8,277.1,143,47.11,191.8,150,16.3,133.5,137,6.01,7.8,11,2.11,0,False
NC,196,408,no,no,0,200.9,71,34.15,163.4,116,13.89,221.7,117,9.98,15.6,16,4.21,16,False
SD,91,415,no,no,0,234.9,111,39.93,224.3,121,19.07,215.2,60,9.68,9.0,16,2.43,9,False
MO,18,415,no,no,0,152.9,50,25.99,233.5,169,19.85,227.7,146,10.25,11.3,16,3.05,6,False
WV,149,510,no,yes,42,131.1,142,22.29,182.7,165,15.53,285.9,56,12.87,9.2,3,2.48,5,False
IL,220,510,no,yes,50,229.1,88,38.95,101.3,143,8.61,190.5,8,8.57,2.9,1,0.78,0,False
FL,227,408,no,yes,42,228.1,37,38.78,223.6,73,19.01,310.6,28,13.98,8.9,9,2.4,9,False
IL,214,408,no,no,0,223.0,104,37.91,125.8,148,10.69,222.0,6,9.99,6.7,4,1.81,4,False
NM,104,510,yes,no,0,186.8,78,31.76,213.7,73,18.16,184.3,104,8.29,10.9,9,2.94,3,False
SD,151,415,yes,no,0,137.9,88,23.44,204.7,148,17.4,329.6,144,14.83,9.2,9,2.48,6,True
HI,192,415,no,yes,44,154.0,70,26.18,184.2,24,15.66,244.8,78,11.02,7.9,10,2.13,1,False
AR,195,415,no,no,0,242.4,89,41.21,233.9,123,19.88,175.4,143,7.89,9.7,9,2.62,0,False
ND,40,408,no,no,0,148.1,71,25.18,219.5,60,18.66,204.5,105,9.2,8.8,10,2.38,6,False
PA,242,415,no,yes,36,190.1,148,32.32,220.8,97,18.77,234.3,82,10.54,12.9,5,3.48,7,False
VA,138,415,no,no,0,138.4,15,23.53,242.9,53,20.65,191.9,165,8.64,11.6,20,3.13,4,False
AR,89,510,no,yes,15,169.7,110,28.85,179.9,59,15.29,207.2,88,9.32,14.9,9,4.02,7,False
PA,180,415,no,no,0,121.7,66,20.69,179.2,169,15.23,155.9,75,7.02,12.0,7,3.24,3,False
ME,241,510,no,no,0,176.0,64,29.92,255.9,31,21.75,109.0,174,4.9,11.4,10,3.08,7,False
CO,200,415,yes,no,0,154.2,12,26.21,233.7,52,19.86,205.7,9,9.26,11.7,19,3.16,2,False
ND,203,408,no,yes,46,87.8,117,14.93,177.0,138,15.05,207.6,151,9.34,12.1,18,3.27,6,False
LA,61,415,no,no,0,215.4,60,36.62,98.8,117,8.4,228.5,49,10.28,5.0,6,1.35,5,False
IL,192,415,no,no,0,212.9,31,36.19,221.0,46,18.78,168.9,125,7.6,11.5,20,3.11,0,False
SD,5,510,no,no,0,183.0,139,31.11,225.8,89,19.19,127.6,42,5.74,5.5,11,1.48,4,False
MN,122,510,no,no,0,119.3,94,20.28,139.2,59,11.83,147.9,164,6.66,4.6,20,1.24,3,False
ME,237,510,no,no,0,120.0,40,20.4,157.7,35,13.4,257.0,172,11.56,6.9,5,1.86,5,False
VT,181,415,no,no,0,305.9,135,52.0,180.2,160,15.32,164.0,53,7.38,10.7,11,2.89,8,False
HI,55,415,no,no,0,38.4,24,6.53,224.1,41,19.05,176.1,42,7.92,6.4,4,1.73,3,False
AL,37,408,no,no,0,121.1,132,20.59,327.7,12,27.85,183.1,36,8.24,11.4,12,3.08,1,False
MS,56,415,no,no,0,296.1,44,50.34,258.0,141,21.93,166.6,168,7.5,14.6,16,3.94,7,False
CT,187,408,no,no,0,313.0,129,53.21,124.1,114,10.55,162.6,127,7.32,9.1,8,2.46,0,False
MO,237,510,no,yes,17,271.8,2,46.21,178.8,100,15.2,153.0,128,6.88,10.6,19,2.86,5,False
MA,102,510,no,yes,27,208.7,149,35.48,196.2,121,16.68,275.6,92,12.4,8.0,20,2.16,3,False
IA,93,510,no,yes,12,145.6,103,24.75,226.6,167,19.26,236.7,15,10.65,6.6,16,1.78,5,False
AL,197,408,no,no,0,89.1,32,15.15,159.6,64,13.57,267.4,36,12.03,9.5,18,2.57,2,False
ID,73,415,no,no,0,201.9,31,34.32,230.8,132,19.62,278.3,164,12.52,7.8,18,2.11,8,False
CT,59,510,no,no,0,138.8,110,23.6,174.8,157,14.86,73.1,134,3.29,8.7,7,2.35,2,False
IA,240,415,no,no,0,258.4,16,43.93,230.7,116,19.61,218.5,39,9.83,35.058875871314925,7,9.47,2,False
MA,2,415,no,no,0,79.9,119,13.58,204.9,100,17.42,168.3,63,7.57,6.2,14,1.67,4,False
ME,193,510,no,no,0,190.8,81,32.44,305.3,38,25.95,260.3,113,11.71,9.7,6,2.62,6,False
NH,104,408,no,yes,3,230.2,2,39.13,250.9,139,21.33,160.0,21,7.2,4.6,5,1.24,5,False
MO,188,415,no,no,0,234.7,69,39.9,268.0,161,22.78,143.1,42,6.44,11.4,15,3.08,6,False
NC,51,510,no,no,0,225.0,117,38.25,147.1,108,12.5,122.6,61,5.52,5.3,7,1.43,8,False
WI,30,415,no,no,0,198.4,30,33.73,173.9,13,14.78,183.7,154,8.27,8.3,2,2.24,2,False
NY,11,415,no,yes,9,186.9,148,31.77,217.7,165,18.5,249.4,28,11.22,13.3,9,3.59,4,False
WI,220,415,no,no,0,229.0,15,38.93,138.1,143,11.74,213.8,15,9.62,12.0,9,3.24,4,True
OH,108,415,no,no,0,198.4,16,33.73,254.3,105,21.62,135.1,138,6.08,10.0,18,2.7,2,False
UT,76,415,no,no,0,200.1,95,34.02,207.7,74,17.65,316.2,20,14.23,16.1,1,4.35,9,False
PA,167,408,no,no,0,181.9,128,30.92,257.1,78,21.85,235.1,136,10.58,10.3,8,2.78,8,True
MT,90,408,no,no,0,159.2,111,27.06,225.6,111,19.18,242.0,26,10.89,13.0,0,3.51,8,False
HI,205,510,no,yes,41,107.1,101,18.21,203.3,66,17.28,269.4,126,12.12,8.2,9,2.21,5,False
OH,123,408,no,yes,45,116.4,71,19.79,194.7,138,16.55,111.4,85,5.01,1.9,17,0.51,4,False
DE,200,408,no,no,0,159.3,65,27.08,161.8,10,13.75,150.8,106,6.79,10.6,0,2.86,3,False
VA,191,408,no,yes,42,173.5,110,29.5,158.8,15,13.5,244.4,150,11.0,11.2,11,3.02,3,False
IN,192,415,no,no,0,127.7,36,21.71,246.3,165,20.94,156.2,50,7.03,11.2,4,3.02,4,False
GA,189,415,yes,no,0,123.7,151,21.03,235.1,157,19.98,185.1,79,8.33,6.0,10,1.62,1,False
AK,125,510,no,no,0,160.3,90,27.25,263.9,168,22.43,195.8,130,8.81,18.3,19,4.94,7,False
VA,182,510,no,yes,6,228.7,83,38.88,173.2,0,14.72,131.0,143,5.9,6.9,13,1.86,6,False
FL,220,510,no,no,0,65.5,110,11.14,258.3,123,21.96,180.5,135,8.12,10.3,14,2.78,6,False
AZ,122,415,no,no,0,129.3,61,21.98,192.0,37,16.32,249.4,89,11.22,10.7,1,2.89,0,False
MA,94,408,no,no,0,188.7,20,32.08,230.6,113,19.6,239.4,169,10.77,12.3,3,3.32,7,False
MT,201,408,no,no,0,249.5,105,42.42,266.9,97,22.69,260.1,162,11.7,8.1,18,2.19,0,False
DE,103,415,no,no,0,296.7,36,50.44,306.6,59,26.06,254.5,47,11.45,11.5,12,3.11,8,False
WV,223,510,no,yes,5,161.5,34,27.46,255.7,18,21.73,221.9,53,9.99,14.5,18,3.92,5,True
AK,186,510,no,no,0,160.7,142,27.32,211.3,123,17.96,217.6,102,9.79,8.7,12,2.35,7,False
CO,213,510,no,no,0,172.6,113,29.34,229.6,99,19.52,213.7,35,9.62,8.6,11,2.32,0,False
NV,184,415,no,no,0,192.3,93,32.69,264.7,67,22.5,166.1,5,7.47,7.2,1,1.94,5,False
NH,239,510,no,no,0,177.6,3,30.19,237.2,137,20.16,144.4,11,6.5,10.7,4,2.89,0,False
MT,162,510,no,no,0,186.3,106,31.67,180.6,16,15.35,162.8,102,7.33,7.5,17,2.03,2,False
MO,31,415,no,no,0,107.8,78,18.33,232.4,79,19.75,182.4,64,8.21,11.9,18,3.21,1,False
ID,52,408,no,no,0,90.3,22,15.35,267.5,84,22.74,164.6,170,7.41,8.6,2,2.32,1,False
CA,89,415,no,no,0,218.6,104,37.16,293.4,91,24.94,222.3,170,10.0,9.3,3,2.51,3,False
ND,76,415,no,no,0,169.6,14,28.83,204.2,28,17.36,210.9,88,9.49,7.2,17,1.94,6,False
WV,129,415,no,yes,9,225.0,139,38.25,144.0,133,12.24,216.7,90,9.75,16.0,11,4.32,2,False
OR,183,415,no,yes,29,192.1,127,32.66,110.2,118,9.37,219.0,86,9.86,10.3,2,2.78,6,False
IA,22,408,no,yes,28,102.6,81,17.44,241.6,121,20.54,264.6,20,11.91,6.8,10,1.84,8,False
UT,40,510,no,yes,38,263.9,120,44.86,122.8,110,10.44,199.5,87,8.98,10.8,13,2.92,3,False
OK,101,415,no,no,0,181.7,87,30.89,217.3,158,18.47,254.5,12,11.45,5.3,2,1.43,6,False
IA,111,408,yes,no,0,139.6,155,23.73,256.0,152,21.76,227.9,169,10.26,8.2,4,2.21,0,False
TX,129,510,no,yes,27,151.2,78,25.7,192.7,86,16.38,261.0,119,11.74,11.2,6,3.02,1,False
WV,65,510,no,yes,17,114.6,18,19.48,124.7,148,10.6,287.2,142,12.92,11.5,19,3.11,7,False
MN,191,510,no,no,0,198.0,68,33.66,136.7,15,11.62,231.1,128,10.4,12.5,16,3.38,2,False
CO,234,415,no,no,0,174.0,131,29.58,154.1,131,13.1,205.6,50,9.25,13.6,18,3.67,4,False
VA,182,415,no,no,0,289.0,9,49.13,194.7,106,16.55,205.3,161,9.24,9.5,2,2.57,7,False
WY,170,510,no,no,0,208.1,139,35.38,262.4,7,22.3,174.6,41,7.86,12.5,0,3.38,4,False
UT,149,510,no,no,0,285.7,134,48.57,201.6,133,17.14,172.8,61,7.78,12.2,7,3.29,0,False
TX,79,510,no,no,0,128.1,43,21.78,310.8,124,26.42,248.7,94,11.19,12.4,19,3.35,1,False
VT,209,510,no,no,0,162.1,150,27.56,254.1,127,21.6,148.0,159,6.66,5.8,4,1.57,9,False
MA,22,510,no,yes,35,228.1,1,38.78,216.1,52,18.37,287.2,99,12.92,10.7,2,2.89,2,False
MN,166,510,no,no,0,211.8,93,36.01,197.4,118,16.78,191.8,60,8.63,9.2,19,2.48,9,False
TX,99,408,no,yes,8,179.2,115,30.46,175.6,90,14.93,354.6,92,15.96,13.7,16,3.7,1,False
KS,237,510,no,no,0,121.9,164,20.72,208.6,62,17.73,162.6,151,7.32,10.3,12,2.78,8,False
WA,208,415,no,no,0,62.4,68,10.61,228.7,133,19.44,213.5,154,9.61,8.9,12,2.4,4,False
IA,8,415,no,no,0,168.1,147,28.58,217.4,106,18.48,181.0,20,8.14,9.1,3,2.46,0,False
MO,190,415,yes,yes,32,170.4,107,28.97,175.6,160,14.93,157.2,17,7.07,9.0,17,2.43,7,False
OK,175,510,no,no,0,186.9,69,31.77,148.4,1,12.61,257.4,54,11.58,10.4,5,2.81,2,False
HI,356,415,yes,no,0,101.9,73,17.32,296.0,168,25.16,140.3,67,6.31,10.9,1,2.94,8,True
IA,17,408,no,no,0,132.5,79,22.52,233.3,15,19.83,163.5,46,7.36,9.4,14,2.54,8,False
AR,90,510,no,no,0,201.2,97,34.2,219.1,101,18.62,231.7,53,10.43,9.1,1,2.46,5,False
MA,141,415,no,yes,5,211.6,158,35.97,226.8,118,19.28,240.2,17,10.81,7.3,19,1.97,3,False
IL,145,408,no,no,0,190.9,99,32.45,257.2,58,21.86,124.8,127,5.62,14.0,19,3.78,8,False
MI,166,408,yes,no,0,161.3,57,27.42,177.1,8,15.05,231.4,48,10.41,9.2,15,2.48,8,False
ME,81,415,no,no,0,115.9,132,19.7,194.4,116,16.52,207.0,93,9.32,10.7,10,2.89,1,True
ND,240,408,no,no,0,231.5,160,39.36,162.6,9,13.82,150.4,162,6.77,11.2,16,3.02,9,False
IN,78,415,no,no,0,219.3,146,37.28,200.6,93,17.05,157.4,166,7.08,10.8,0,2.92,5,False
AR,173,408,no,no,0,149.0,31,25.33,166.5,6,14.15,90.2,56,4.06,8.7,12,2.35,3,False
WV,6,510,no,no,0,225.0,120,38.25,149.7,92,12.72,292.7,5,13.17,11.7,7,3.16,2,False
VA,163,510,no,no,0,176.3,2,29.97,118.4,147,10.06,254.8,77,11.47,14.0,2,3.78,9,False
NE,110,510,no,no,0,143.2,128,24.34,285.6,122,24.28,130.4,19,5.87,11.9,13,3.21,5,False
NH,14,510,no,no,0,230.0,47,39.1,183.9,62,15.63,243.1,49,10.94,11.2,13,3.02,7,False
WA,239,510,no,no,0,185.4,132,31.52,225.8,3,19.19,169.0,8,7.6,11.8,20,3.19,8,False
NV,72,415,no,no,0,156.9,76,26.67,205.9,27,17.5,249.4,141,11.22,10.2,13,2.75,8,False
OH,189,510,no,no,0,110.8,10,18.84,226.4,71,19.24,173.2,119,7.79,9.2,18,2.48,1,False
